TOA5,CR1000,CR1000,29101,CR1000.Std.32.03,CPU:Mzaar_MTO_2018_2019_modif2_200219.cr1,38694,Table_MTO_MZAAR,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Avg,TA_Avg,RH,SW_IN_Avg,SW_OUT_Avg,WS,WD,WD_std,PA_Avg,Raw_Ds_Avg,Q_Avg,T_Corr_Ds_Avg,Raw_Ds,Q,T_Corr_Ds,Geo_Hz_Avg,Geo_cm_Avg,WS_Max,CH200_M0_Avg(1),CH200_M0_Avg(2),CH200_M0_Avg(3),CH200_M0_Avg(4),CH200_M0_Avg(5)
TS,RN,Volts,C,%,,,m/s,Degrees,Deg,,,,,,,,,,m/s,,,,,
,,Avg,Avg,Smp,Avg,Avg,WVc,WVc,WVc,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Avg,Avg,Max,Avg,Avg,Avg,Avg,Avg
2019-05-20 14:00:00,4240,13.64,14.16,64.65,514.7847,144.0859,1.749,50.06,18.89,776.6,1.861,185.8,1.908,0.34,361,0.349,1884,19.96,3.724,13.72,0.05,0.04,18.15,0.08
2019-05-20 14:30:00,4241,13.63,13.93,53.99,410.966,120.5035,2.106,82.2,13.67,776.6,-10,-10,-10,0.347,266,0.356,1884,19.96,3.969,13.71,0.048,0.04,17.09,0.083
2019-05-20 15:00:00,4242,13.62,14.37,67.84,305.5932,97.74696,2.378,25.91,30.5,776.6,1.86,191.4,1.909,1.857,193,1.905,1884,19.96,3.969,13.71,0.045,0.04,15.17,0.088
2019-05-20 15:30:00,4243,13.47,13.71,58.02,173.3344,64.18827,1.63,43.59,30.69,776.7,1.864,190.7,1.91,0.339,365,0.347,1884,19.97,3.332,13.55,0.019,0.04,15.39,0.061
2019-05-20 16:00:00,4244,13.33,13.12,45.96,77.63443,37.37379,3.423,80.4,10.73,776.6,1.868,199.5,1.911,0.34,359,0.348,1884,19.97,5.684,13.42,0.005,0.04,14.39,0.047
2019-05-20 16:30:00,4245,13.15,12.92,45.78,31.63052,17.41048,3.7,77.06,8.65,776.7,-10,-10,-10,0.344,320,0.352,1884,19.97,6.076,13.26,-0.024,0.045,13.69,0.023
2019-05-20 17:00:00,4246,12.98,12.52,47.54,0.1861328,2.748468,3.376,77.28,10.24,776.8,-10,-10,-10,0.347,282,0.355,1884,19.98,5.929,13.08,-0.04,0.041,6.062,0
2019-05-20 17:30:00,4247,12.92,12.17,41.75,0,2.450934,2.391,79.45,12.75,777,-10,-10,-10,0.35,254,0.358,1884,19.98,4.459,13.01,-0.04,0.041,0.46,0
2019-05-20 18:00:00,4248,12.89,12.05,44.1,0,2.643687,2.606,66.01,13.86,777.2,-10,-10,-10,0.35,253,0.357,1885,19.98,4.557,12.98,-0.04,0.041,0.119,0
2019-05-20 18:30:00,4249,12.88,11.89,38.85,0,2.524267,2.609,80.8,18.07,777.4,-10,-10,-10,0.35,253,0.357,1885,19.98,5.145,12.96,-0.04,0.041,0.063,0
2019-05-20 19:00:00,4250,12.86,12.14,34.06,0,2.414128,2.854,81.2,15.58,777.6,-10,-10,-10,0.35,252,0.358,1885,19.98,5.194,12.95,-0.04,0.041,0.052,0
2019-05-20 19:30:00,4251,12.85,12.23,34.23,0,2.063555,2.327,97.4,17.45,777.8,-10,-10,-10,0.35,254,0.358,1885,19.98,4.361,12.93,-0.04,0.041,0.049,0
2019-05-20 20:00:00,4252,12.84,12.14,33.65,0,2.117961,1.724,116.8,16.68,777.8,-10,-10,-10,0.35,252,0.358,1885,19.98,3.43,12.92,-0.04,0.041,0.046,0
2019-05-20 20:30:00,4253,12.82,12.22,31.67,0,2.358973,1.839,101,24.24,777.8,-10,-10,-10,0.351,246,0.359,1885,19.98,4.312,12.91,-0.04,0.041,0.046,0
2019-05-20 21:00:00,4254,12.81,12.2,32.54,0,2.026713,1.775,112.1,17.08,777.8,-10,-10,-10,0.35,250,0.358,1885,19.98,3.283,12.89,-0.04,0.041,0.047,0
2019-05-20 21:30:00,4255,12.8,11.86,33.03,0,2.117153,1.814,99.4,21.82,777.7,-10,-10,-10,0.351,244,0.358,1885,19.98,4.018,12.88,-0.04,0.041,0.049,0
2019-05-20 22:00:00,4256,12.79,11.81,32.75,0,2.142708,3.414,73.89,10,777.6,-10,-10,-10,0.351,246,0.358,1885,19.98,5.733,12.87,-0.04,0.041,0.05,0
2019-05-20 22:30:00,4257,12.77,11.65,34.7,0,2.267678,2.902,70.3,11.98,777.6,-10,-10,-10,0.351,245,0.358,1885,19.98,4.9,12.85,-0.04,0.041,0.051,0
2019-05-20 23:00:00,4258,12.76,11.73,35.64,0,2.330155,2.647,73.57,13.39,777.6,-10,-10,-10,0.35,250,0.357,1885,19.98,5.194,12.84,-0.04,0.041,0.052,0
2019-05-20 23:30:00,4259,12.74,11.84,36.72,0,2.445324,2.744,67.87,10.38,777.4,-10,-10,-10,0.35,252,0.358,1885,19.98,4.459,12.82,-0.04,0.041,0.052,0
2019-05-21 00:00:00,4260,12.73,11.98,37.64,0,2.284012,2.536,71.82,11.16,777.3,-10,-10,-10,0.35,254,0.358,1885,19.98,4.361,12.81,-0.04,0.041,0.053,0
2019-05-21 00:30:00,4261,12.7,12.11,37.5,0,2.386276,3.113,64.02,12.2,777.1,-10,-10,-10,0.351,246,0.359,1885,19.98,5.292,12.79,-0.045,0.046,0.053,0
2019-05-21 01:00:00,4262,12.7,12.08,35.38,0,2.049161,3.069,64.27,13.42,777.1,-10,-10,-10,0.35,250,0.358,1885,19.98,5.684,12.78,-0.04,0.041,0.053,0
2019-05-21 01:30:00,4263,12.69,12.06,33.83,0,2.101022,3.057,54.76,13.37,777.3,-10,-10,-10,0.35,251,0.358,1885,19.98,5.782,12.77,-0.04,0.041,0.054,0
2019-05-21 02:00:00,4264,12.68,12.06,33.27,0,2.458784,2.292,54.88,11.77,777.3,-10,-10,-10,0.35,249,0.358,1885,19.98,4.116,12.77,-0.04,0.041,0.061,0
2019-05-21 02:30:00,4265,12.68,11.77,37.12,0,2.450036,1.553,30.86,16.39,777.5,-10,-10,-10,0.35,250,0.357,1885,19.98,3.332,12.76,-0.04,0.041,3.179,0
2019-05-21 03:00:00,4266,12.67,11.78,37.82,14.8284,9.041619,1.578,15.21,13.82,777.6,-10,-10,-10,0.35,252,0.358,1885,19.98,2.744,12.76,-0.038,0.041,12.19,0.003
2019-05-21 03:30:00,4267,12.7,12.73,35.24,93.62855,35.04642,2.252,2.17,10.79,777.8,-10,-10,-10,0.347,281,0.355,1885,19.98,3.92,12.78,-0.023,0.041,13.03,0.02
2019-05-21 04:00:00,4268,12.75,13.51,29.82,206.7673,55.75997,1.848,0.276,15.6,777.9,-10,-10,-10,0.35,252,0.359,1885,19.98,4.214,12.83,-0.007,0.041,13.26,0.037
2019-05-21 04:30:00,4269,12.8,14.63,29.21,306.1921,79.30511,0.643,307.5,26.46,778,-10,-10,-10,0.349,256,0.358,1885,19.98,1.519,12.88,0.004,0.041,13.32,0.049
2019-05-21 05:00:00,4270,12.87,14.63,28.07,408.1071,105.6355,0.658,277.5,33.98,778.2,-10,-10,-10,0.348,261,0.357,1885,19.98,2.352,12.95,0.014,0.041,13.4,0.059
2019-05-21 05:30:00,4271,12.95,14.48,34.81,510.4863,134.5272,1.123,231.9,19.7,778.3,-10,-10,-10,0.349,242,0.358,1884,19.98,2.842,13.03,0.022,0.041,13.55,0.067
