TOA5,CR1000,CR1000,29101,CR1000.Std.32.03,CPU:Mzaar_MTO_2018_2019_modif2_200219.cr1,38694,Table_MTO_MZAAR,,,,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BattV_Avg,TA_Avg,RH,SW_IN_Avg,SW_OUT_Avg,WS,WD,WD_std,PA_Avg,Raw_Ds_Avg,Q_Avg,T_Corr_Ds_Avg,Raw_Ds,Q,T_Corr_Ds,Geo_Hz_Avg,Geo_cm_Avg,WS_Max,CH200_M0_Avg(1),CH200_M0_Avg(2),CH200_M0_Avg(3),CH200_M0_Avg(4),CH200_M0_Avg(5)
TS,RN,Volts,C,%,,,m/s,Degrees,Deg,,,,,,,,,,m/s,,,,,
,,Avg,Avg,Smp,Avg,Avg,WVc,WVc,WVc,Avg,Avg,Avg,Avg,Smp,Smp,Smp,Avg,Avg,Max,Avg,Avg,Avg,Avg,Avg
2019-03-09 13:30:00,781,13.84,4.316,14.91,493.5748,361.4496,1.479,171.4,14.45,776.2,-10,-10,-10,0.346,290,0.349,2347,36.62,2.45,13.92,0.132,0.049,20.18,0.141
2019-03-09 14:00:00,782,13.83,4.632,26.65,386.8339,302.8053,1.281,141.9,14.49,776.1,1.319,194.3,1.329,1.317,188,1.328,2347,36.62,2.107,13.92,0.131,0.04,20,0.134
2019-03-09 14:30:00,783,13.83,3.124,50.81,268.9204,227.3008,2.649,187.2,15.61,775.9,1.321,198.9,1.33,0.337,411,0.339,2347,36.62,4.655,13.92,0.13,0.04,20.59,0.13
2019-03-09 15:00:00,784,13.87,2.84,48.29,154.7756,155.7372,3.28,195.6,8.31,775.9,1.323,200.5,1.33,0.344,351,0.346,2347,36.63,4.949,13.95,0.131,0.04,20.91,0.129
2019-03-09 15:30:00,785,13.9,2.15,31.07,50.50521,80.78051,3.9,198.1,4.547,775.8,1.326,196.7,1.331,0.34,457,0.341,2347,36.63,4.998,13.98,0.13,0.04,20.18,0.134
2019-03-09 16:00:00,786,13.3,2.65,23.01,3.191833,11.98865,3.555,210.2,7.411,775.8,1.326,195.5,1.332,0.346,490,0.348,2347,36.64,4.655,13.4,0,0.04,12.12,0.043
2019-03-09 16:30:00,787,12.96,3.271,22.03,0,1.492876,3.032,225.5,10.04,775.8,1.323,196.9,1.331,1.323,193,1.331,2347,36.64,4.165,13.05,-0.044,0.045,1.816,0
2019-03-09 17:00:00,788,12.91,2.431,21.68,0,0.9845893,4.118,231.4,9.35,775.8,1.325,198.9,1.331,1.325,195,1.333,2347,36.64,5.537,13,-0.039,0.04,0.227,0
2019-03-09 17:30:00,789,12.89,2.644,18.13,0,0.827671,4.818,233.4,6.299,775.9,1.324,199.5,1.331,1.323,200,1.33,2347,36.64,6.223,12.97,-0.039,0.04,0.09,0
2019-03-09 18:00:00,790,12.87,2.85,21.83,0,0.7130152,4.981,237.9,5.12,775.9,1.325,203.2,1.332,0.346,456,0.348,2347,36.64,5.978,12.95,-0.039,0.04,0.063,0
2019-03-09 18:30:00,791,12.85,2.546,17.34,0,0.7435682,5.501,238.1,5.579,775.9,1.327,205,1.333,0.348,292,0.35,2347,36.64,7.301,12.93,-0.039,0.04,0.054,0
2019-03-09 19:00:00,792,12.84,2.601,19.62,0,0.6010407,5.703,246.1,5.858,775.8,-10,-10,-10,0.348,293,0.349,2347,36.64,7.693,12.92,-0.039,0.04,0.051,0
2019-03-09 19:30:00,793,12.83,1.609,27.68,0,0.4089369,5.807,243.9,5.473,775.7,-10,-10,-10,0.346,308,0.347,2347,36.64,7.546,12.91,-0.039,0.04,0.049,0
2019-03-09 20:00:00,794,12.82,0.923,30.34,0,0.5277699,5.303,244.4,4.763,775.7,-10,-10,-10,0.342,359,0.342,2347,36.64,6.468,12.9,-0.039,0.04,0.046,0
2019-03-09 20:30:00,795,12.81,0.626,26.26,0,0.6427121,4.384,236.9,6.051,775.7,-10,-10,-10,0.34,417,0.34,2347,36.64,5.488,12.89,-0.039,0.04,0.044,0
2019-03-09 21:00:00,796,12.8,0.778,20.06,0,0.8723182,3.55,232,11.25,775.6,-10,-10,-10,0.343,330,0.343,2348,36.64,5.684,12.88,-0.039,0.04,0.043,0
2019-03-09 21:30:00,797,12.79,0.362,14.46,0,0.7332358,4.312,248.8,10.23,775.4,-10,-10,-10,0.348,286,0.348,2348,36.64,5.88,12.87,-0.039,0.04,0.042,0
2019-03-09 22:00:00,798,12.78,0.35,13.85,0,0.9808468,3.65,265,11.16,775.2,-10,-10,-10,0.35,263,0.35,2348,36.64,5.831,12.86,-0.039,0.04,0.042,0
2019-03-09 22:30:00,799,12.78,0.269,11.53,0,0.8595884,3.26,275.6,11.22,775,-10,-10,-10,0.346,284,0.346,2348,36.64,5.292,12.85,-0.039,0.04,0.042,0
2019-03-09 23:00:00,800,12.77,-0.305,28.56,0,0.8167848,3.292,294.9,13.19,775,-10,-10,-10,0.347,293,0.347,2348,36.64,4.655,12.84,-0.039,0.04,0.041,0
2019-03-09 23:30:00,801,12.76,-0.388,55.49,0,1.391678,2.027,315.7,15.19,774.9,-10,-10,-10,0.339,393,0.339,2348,36.65,3.528,12.83,-0.039,0.04,0.041,0
2019-03-10 00:00:00,802,12.75,0.306,58.18,0,1.443694,2.55,347.1,12.56,774.5,-10,-10,-10,1.316,222,1.316,2348,36.65,4.459,12.83,-0.039,0.04,0.041,0
2019-03-10 00:30:00,803,12.73,0.381,59.49,0,1.268337,2.516,342.5,11.19,774.2,-10,-10,-10,1.314,244,1.315,2348,36.65,4.312,12.81,-0.044,0.045,0.041,0
2019-03-10 01:00:00,804,12.74,0.128,63.12,0,1.099986,2.718,351.5,10.12,774.1,-10,-10,-10,1.313,251,1.313,2348,36.65,4.704,12.82,-0.039,0.04,0.041,0
2019-03-10 01:30:00,805,12.73,0.227,61.92,0,1.207525,3.071,347.1,10.94,774,-10,-10,-10,1.309,309,1.31,2348,36.65,4.9,12.81,-0.039,0.04,0.041,0
2019-03-10 02:00:00,806,12.73,0.186,59.03,0,1.218697,2.514,345.3,9.6,773.9,-10,-10,-10,0.512,288,0.512,2348,36.65,4.655,12.81,-0.039,0.04,0.041,0
2019-03-10 02:30:00,807,12.73,0.223,59.04,0,1.239276,2.566,341.2,11.11,773.8,-10,-10,-10,0.342,480,0.342,2348,36.65,4.263,12.8,-0.039,0.04,0.041,0
2019-03-10 03:00:00,808,12.72,-0.198,51.92,0,1.11685,2.327,335.1,9.92,773.7,-10,-10,-10,0.34,377,0.34,2348,36.65,3.871,12.8,-0.039,0.04,0.041,0
2019-03-10 03:30:00,809,12.72,-0.678,51.75,0,1.280127,1.952,326.2,10.2,773.7,-10,-10,-10,0.343,354,0.342,2348,36.65,3.43,12.79,-0.039,0.04,0.088,0
2019-03-10 04:00:00,810,12.71,-0.088,49.49,0.9588668,3.395766,2.419,343.1,12.65,773.6,-10,-10,-10,0.338,370,0.338,2348,36.65,4.557,12.79,-0.039,0.04,7.041,0
2019-03-10 04:30:00,811,12.72,0.258,51.6,40.13102,23.48483,3.19,331.2,12.27,773.7,-10,-10,-10,0.342,341,0.342,2348,36.65,5.341,12.8,-0.031,0.04,13.03,0.009
2019-03-10 05:00:00,812,12.77,0.881,56.8,149.8788,69.65296,3.673,339.6,10.95,773.7,-10,-10,-10,0.351,264,0.352,2348,36.65,5.782,12.84,-0.01,0.04,13.12,0.033
